Sample,Sex,Population abbreviations,Country of origin,Depth
HG03579,male,MSL,AFR,14.0484
HG01928,male,PEL,AMR,18.5629
HG02717,male,GWD,AFR,24.8905
HG02257,female,ACB,AFR,33.3312
HG01978,female,PEL,AMR,35.1972
HG00673,male,CHS,EAS,37.0509
HG01071,female,PUR,AMR,37.1065
HG02015,male,KHV,EAS,37.6572
HG01258,male,CLM,AMR,37.8863
HG01358,male,CLM,AMR,38.61
HG02486,male,ACB,AFR,38.7748
HG00438,female,CHS,EAS,38.8531
HG02145,male,ACB,AFR,39.3669
HG03516,female,ESN,AFR,41.1299
HG02886,female,GWD,AFR,41.5864
HG01123,female,CLM,AMR,42.4306
HG01106,male,PUR,AMR,43.395
HG01361,female,CLM,AMR,43.4489
HG00621,male,CHS,EAS,44.117
HG01175,female,PUR,AMR,44.3814
HG00735,female,PUR,AMR,44.6072
HG01891,female,ACB,AFR,44.7215
HG02109,female,ACB,AFR,46.0223
HG02129,male,KHV,EAS,46.5758
HG02559,female,ACB,AFR,48.6365
HG00741,female,PUR,AMR,49.383
HG005,male,PGP,EAS,49.4536
HG04187,male,BEB,SAS,52.4228
NA20858,male,GIH,SAS,52.4694
HG01252,male,CLM,AMR,52.9396
HG02148,female,PEL,AMR,53.1343
HG02683,female,PJL,SAS,53.3484
HG03195,female,ESN,AFR,53.3909
HG04184,female,BEB,SAS,53.6108
HG03471,male,MSL,AFR,53.9249
HG03540,female,GWD,AFR,54.09
HG02056,male,KHV,EAS,54.1643
HG01952,male,PEL,AMR,54.288
HG03834,female,BEB,SAS,54.7966
HG01960,female,ACB,AFR,55.0195
NA20805,male,TSI,EUR,55.1213
HG02258,male,ACB,AFR,55.5185
HG01192,male,PUR,AMR,55.5208
HG02451,female,ACB,AFR,55.92
HG02622,female,GWD,AFR,55.9703
HG02647,male,GWD,AFR,56.5961
HG02572,male,GWD,AFR,56.6798
HG02391,male,CDX,EAS,57.7771
HG03453,female,MSL,AFR,59.3007
HG02668,male,GWD,AFR,60.0534
HG01530,male,IBS,EUR,60.2936
HG02735,male,PJL,SAS,60.732
HG01884,female,ACB,AFR,60.8913
HG01109,male,PUR,AMR,61.0998
HG00558,female,CHS,EAS,61.1042
NA19185,female,YRI,AFR,61.1871
HG03942,male,BEB,SAS,61.4234
HG04115,male,STU,SAS,62.2761
HG02738,male,PJL,SAS,63.0467
NA19159,female,YRI,AFR,63.2835
NA19120,male,YRI,AFR,64.0363
HG01243,male,PUR,AMR,64.2505
HG03139,male,ESN,AFR,64.2941
HG04204,male,STU,SAS,64.8012
HG00733,female,PUR,AMR,65.3144
NA20799,female,TSI,EUR,65.4155
HG03130,male,ESN,AFR,65.6832
HG00099,female,GBR,EUR,65.8814
HG03654,male,PJL,SAS,66.0721
HG03041,female,GWD,AFR,66.6243
HG00280,male,FIN,EUR,66.6449
HG02027,male,KHV,EAS,66.6819
HG02841,female,GWD,AFR,66.71
HG04199,male,STU,SAS,66.7217
HG03742,male,ITU,SAS,66.7983
HG02630,female,GWD,AFR,66.9901
NA20905,male,GIH,SAS,67.4226
HG03050,male,GWD,AFR,67.4862
HG00423,female,CHS,EAS,67.651
HG01969,female,PEL,AMR,67.7371
HG00323,female,FIN,EUR,68.3128
HG03669,female,PJL,SAS,68.3305
HG03927,female,BEB,SAS,69.3934
NA19043,male,LWK,AFR,69.5649
HG01943,male,PEL,AMR,69.6618
HG01981,female,PEL,AMR,70.0523
HG02300,male,PEL,AMR,70.3296
HG02809,female,GWD,AFR,70.4623
HG02514,male,KHV,EAS,71.4463
HG02976,female,ESN,AFR,71.6435
HG03239,female,PJL,SAS,71.7834
HG03225,male,MSL,AFR,72.5751
HG02965,male,ESN,AFR,73.0887
NA19338,female,LWK,AFR,73.3701
HG01261,male,CLM,AMR,73.8066
NA18570,female,CHB,EAS,74.2457
HG00642,male,PUR,AMR,74.317
HG03098,male,MSL,AFR,74.3846
HG03710,male,PJL,SAS,74.7576
HG02280,female,ACB,AFR,74.9709
HG03470,female,MSL,AFR,75.1552
HG02165,female,CDX,EAS,75.1838
NA18983,male,JPT,EAS,75.9874
HG00658,male,CHS,EAS,76.0168
HG02273,female,PEL,AMR,76.3443
HG00544,female,CHS,EAS,76.5499
HG03458,female,MSL,AFR,76.694
HG02132,male,KHV,EAS,76.8972
HG02615,female,GWD,AFR,77.0433
NA18522,male,YRI,AFR,77.0714
HG01099,male,PUR,AMR,77.2844
HG03704,female,PJL,SAS,78.1161
HG03209,male,MSL,AFR,79.0819
HG02984,male,GWD,AFR,79.3502
HG01784,female,IBS,EUR,79.6235
HG00706,male,CHS,EAS,80.3301
HG04160,male,BEB,SAS,80.3759
HG00408,female,CHS,EAS,80.4253
HG04228,male,STU,SAS,80.4287
NA19087,female,JPT,EAS,80.7505
NA18612,male,CHB,EAS,80.7939
HG03688,male,STU,SAS,81.0962
HG03792,male,ITU,SAS,81.2274
HG01346,female,CLM,AMR,81.3468
HG00140,male,GBR,EUR,81.3471
NA18747,male,CHB,EAS,83.8139
HG01934,male,PEL,AMR,84.138
HG02135,male,KHV,EAS,84.7099
HG01940,female,PEL,AMR,84.7523
HG02155,female,CDX,EAS,85.0143
HG02083,male,KHV,EAS,85.271
HG01074,male,PUR,AMR,86.2583
HG01255,male,CLM,AMR,86.428
HG03017,male,PJL,SAS,86.7782
HG02523,female,KHV,EAS,86.8416
HG00738,male,PUR,AMR,87.1905
HG02074,male,KHV,EAS,87.5188
HG02071,male,KHV,EAS,87.6242
NA19468,female,LWK,AFR,87.7304
HG01975,female,PEL,AMR,87.8318
NA20752,male,TSI,EUR,88.0196
NA18971,male,JPT,EAS,89.0254
HG03816,female,BEB,SAS,89.0502
HG03831,female,BEB,SAS,89.2319
HG01433,male,CLM,AMR,90.0533
HG01496,female,CLM,AMR,90.903
HG02698,male,PJL,SAS,91.9183
NA19391,female,LWK,AFR,91.9673
HG02040,male,KHV,EAS,92.2438
HG02602,male,PJL,SAS,92.483
HG00597,female,CHS,EAS,93.4212
HG01150,female,CLM,AMR,94.5936
HG02004,female,PEL,AMR,94.6248
HG04157,male,BEB,SAS,95.3109
HG00639,female,PUR,AMR,96.3491
HG02922,female,ESN,AFR,98.1497
HG00609,male,CHS,EAS,99.0163
HG02293,female,PEL,AMR,103.022
HG03804,female,BEB,SAS,103.435
HG01993,female,PEL,AMR,106.527
HG01081,female,PUR,AMR,113.215
